店铺名称,店铺地址,商品标题,商品价格,商品销量
天猫超市,上海,欧莱雅紫熨斗眼霜保湿抗皱淡化细纹黑眼圈30ml,¥489.00 ,0人付款
天猫超市,上海,巴黎欧莱雅精油润养洗发水护发素洗护套装正品 改善干枯 柔顺头发,¥89.90 ,1.0万+人付款
天猫超市,上海,欧莱雅蒸汽发膜帽x2 正品修复干枯奇焕垂顺精油焗油护发改善毛躁,¥69.90 ,1921人付款
天猫超市,上海,欧莱雅小花源清新茉莉香水护发精油100ml 头发免洗柔顺修护干枯发,¥109.00 ,1344人付款
天猫超市,上海,欧莱雅发膜女免蒸精油护发素正品修复干枯焗油膏倒膜头发营养护理,¥39.00 ,2778人付款
天猫超市,上海,欧莱雅大金瓶精油洗发水奇焕垂顺洗发露洗头膏+奇焕垂顺润发乳,¥168.00 ,245人付款
天猫超市,江苏 苏州,欧莱雅男士专用洗面奶护肤品套装补水控油抗痘去黑头火山泥洁面乳,¥99.00 ,5.0万+人付款
天猫超市,江苏 苏州,欧莱雅男士护肤品套装补水保湿乳洗面奶洗脸男士专用水乳套装全套,¥189.00 ,3.0万+人付款
天猫超市,浙江 杭州,L'OREAL /欧莱雅玻尿酸日晚霜眼霜孚波因抗皱保湿补水套装精华,¥479.00 ,13人付款
天猫超市,浙江 杭州,欧莱雅金致臻颜牡丹奢养粉妍精华+面霜精华水补水保湿套装套盒,¥275.00 ,15人付款
天猫超市,江苏 苏州,欧莱雅小金管麦色滤面部防紫外线防晒伤隔离防晒霜SPF50+男女30ml,¥149.00 ,9.0万+人付款
天猫超市,上海,欧莱雅男士洗面奶男清洁控油磨砂抗黑头洁面膏洁面乳去黑头缩毛孔,¥37.90 ,8500+人付款
天猫超市,广东 深圳,欧莱雅小黑瓶50ml青春密码酵素面部精华补水紧致抗衰老初老肌底液,¥139.00 ,1304人付款
欧莱雅男士官方旗舰店,江苏 苏州,欧莱雅男士控油炭爽抗黑头洁面膏清洁洗面奶祛黑头洁面乳官方正品,¥39.00 ,2.5万+人付款
欧莱雅男士官方旗舰店,上海,欧莱雅男士专用洗面奶男控油祛痘印去黑头火山岩洁面护肤套装正品,¥34.90 ,1.5万+人付款
欧莱雅男士官方旗舰店,江苏 南京,欧莱雅男士专用洗面奶火山岩泥控油祛痘磨砂去黑头深层清洁面乳膏,¥62.90 ,4991人付款
